"cycle","indicador","valor"
"2013-2014","Participantes en Demographic","10.175"
"2013-2014","Edad mediana (RIQ)","26 años (10–52)"
"2013-2014","Mujeres","5.172 (50.8%)"
"2013-2014","Hombres","5.003 (49.2%)"
"2013-2014","Con registro Examination","9.813 (96.4%)"
"2013-2014","Con registro Labs","9.813 (96.4%)"
"2013-2014","Con Questionnaire","10.175 (100.0%)"
"2013-2014","Elegibles para mortalidad pública","6.100 (60.0%)"
"2013-2014","Fallecidos entre elegibles","467 (7.7% de elegibles)"
"2013-2014","Seguimiento mediano desde entrevista","72 meses"
"2013-2014","Seguimiento mediano desde examen MEC","71 meses"
