"cycle","variable","label","module","applicability_rule","n_total","n_not_applicable","n_missing_raw","pct_missing_raw","n_applicable","n_missing_applicable","pct_missing_applicable","missingness_type"
"2013-2014","dem__INDFMPIR","Razón ingresos-pobreza familiar","Demographic","Todos los participantes entrevistados",10175,0,785,7.714987714987715,10175,785,7.714987714987715,"Ausencia dentro de la población aplicable"
"2013-2014","exam__BMXBMI","Índice de masa corporal","Examination","Participantes examinados en MEC de 2 o más años",10175,1000,1120,11.007371007371008,9175,120,1.3079019073569482,"Ausencia estructural y ausencia dentro de la población aplicable"
"2013-2014","exam__BMXWAIST","Perímetro de cintura","Examination","Participantes examinados en MEC de 2 o más años",10175,1000,1514,14.879606879606879,9175,514,5.602179836512262,"Ausencia estructural y ausencia dentro de la población aplicable"
"2013-2014","lab__LBXSGL","Glucosa sérica","Labs","Participantes con registro de laboratorio de 12 o más años",10175,3196,3622,35.597051597051596,6979,426,6.104026364808711,"Ausencia estructural y ausencia dentro de la población aplicable"
"2013-2014","lab__LBXGH","Hemoglobina glucosilada","Labs","Participantes con registro de laboratorio de 12 o más años",10175,3196,3532,34.712530712530715,6979,336,4.81444332998997,"Ausencia estructural y ausencia dentro de la población aplicable"
"2013-2014","lab__LBDHDD","Colesterol HDL","Labs","Participantes con registro de laboratorio de 6 o más años",10175,1884,2551,25.07125307125307,8291,667,8.044867929079725,"Ausencia estructural y ausencia dentro de la población aplicable"
"2013-2014","quest__HSD010","Estado general de salud","Questionnaire","Participantes de 12 o más años",10175,2974,3708,36.44226044226044,7201,734,10.1930287460075,"Ausencia estructural y ausencia dentro de la población aplicable"
"2013-2014","quest__SMQ020","Ha fumado al menos 100 cigarrillos","Questionnaire","Participantes de 18 o más años",10175,4062,4062,39.92137592137592,6113,0,0,"Ausencia estructural por no aplicabilidad"
"2013-2014","quest__DIQ010","Diagnóstico de diabetes","Questionnaire","Participantes de 1 o más años",10175,405,406,3.9901719901719903,9770,1,0.01023541453428864,"Ausencia estructural y ausencia dentro de la población aplicable"
"2013-2014","mort__event","Evento de mortalidad","Linked Mortality","Participantes elegibles para el archivo público de mortalidad",10175,4075,4075,40.04914004914005,6100,0,0,"Ausencia estructural por no aplicabilidad"
"2013-2014","mort__followup_months_interview","Seguimiento desde entrevista","Linked Mortality","Participantes elegibles para el archivo público de mortalidad",10175,4075,4075,40.04914004914005,6100,0,0,"Ausencia estructural por no aplicabilidad"
"2013-2014","mort__followup_months_exam","Seguimiento desde examen MEC","Linked Mortality","Participantes elegibles para el archivo público de mortalidad",10175,4075,4262,41.88697788697789,6100,187,3.0655737704918034,"Ausencia estructural y ausencia dentro de la población aplicable"
