"cycle","module","base_variable","source_columns","n_source_columns","overlap_rows","conflict_rows","resolution"
"2013-2014","Labs","LBDR06","LBDR06.x | LBDR06.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR11","LBDR11.x | LBDR11.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR16","LBDR16.x | LBDR16.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR18","LBDR18.x | LBDR18.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR26","LBDR26.x | LBDR26.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR31","LBDR31.x | LBDR31.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR33","LBDR33.x | LBDR33.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR35","LBDR35.x | LBDR35.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR39","LBDR39.x | LBDR39.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR40","LBDR40.x | LBDR40.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR42","LBDR42.x | LBDR42.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR45","LBDR45.x | LBDR45.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR51","LBDR51.x | LBDR51.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR52","LBDR52.x | LBDR52.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR53","LBDR53.x | LBDR53.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR54","LBDR54.x | LBDR54.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR55","LBDR55.x | LBDR55.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR56","LBDR56.x | LBDR56.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR58","LBDR58.x | LBDR58.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR59","LBDR59.x | LBDR59.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR61","LBDR61.x | LBDR61.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR62","LBDR62.x | LBDR62.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR64","LBDR64.x | LBDR64.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR66","LBDR66.x | LBDR66.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR67","LBDR67.x | LBDR67.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR68","LBDR68.x | LBDR68.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR69","LBDR69.x | LBDR69.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR70","LBDR70.x | LBDR70.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR71","LBDR71.x | LBDR71.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR72","LBDR72.x | LBDR72.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR73","LBDR73.x | LBDR73.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR81","LBDR81.x | LBDR81.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR82","LBDR82.x | LBDR82.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR83","LBDR83.x | LBDR83.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR84","LBDR84.x | LBDR84.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDR89","LBDR89.x | LBDR89.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDRHP","LBDRHP.x | LBDRHP.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDRLP","LBDRLP.x | LBDRLP.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDRPCR","LBDRPCR.x | LBDRPCR.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","LBDRPI","LBDRPI.x | LBDRPI.y",2,0,0,"Consolidadas sin solapamiento; revisar definición en codebook"
"2013-2014","Labs","PHAFSTHR","PHAFSTHR.x | PHAFSTHR.y | PHAFSTHR",3,3291,0,"Consolidadas; los valores solapados coinciden"
"2013-2014","Labs","PHAFSTMN","PHAFSTMN.x | PHAFSTMN.y | PHAFSTMN",3,3291,0,"Consolidadas; los valores solapados coinciden"
"2013-2014","Labs","URXUCR","URXUCR.x | URXUCR.y | URXUCR",3,5371,0,"Consolidadas; los valores solapados coinciden"
"2013-2014","Labs","WTSA2YR","WTSA2YR.x | WTSA2YR.y | WTSA2YR",3,2755,0,"Consolidadas; los valores solapados coinciden"
"2013-2014","Labs","WTSAF2YR","WTSAF2YR.x | WTSAF2YR.y | WTSAF2YR",3,3329,0,"Consolidadas; los valores solapados coinciden"
"2013-2014","Labs","WTSB2YR","WTSB2YR.x | WTSB2YR.y | WTSB2YR",3,2777,0,"Consolidadas; los valores solapados coinciden"
"2013-2014","Labs","WTSH2YR","WTSH2YR.x | WTSH2YR.y",2,5932,0,"Consolidadas; los valores solapados coinciden"
"2013-2014","Questionnaire","SMAQUEX","SMAQUEX.x | SMAQUEX.y",2,6979,0,"Consolidadas; los valores solapados coinciden"
