"cycle","variable","original_variable","module","r_class","n_distinct_observed","n_missing","pct_missing"
"2013-2014","SEQN","SEQN","identifier","integer",10175,0,0
"2013-2014","dem__SDDSRVYR","SDDSRVYR","Demographic","numeric",1,0,0
"2013-2014","dem__RIDSTATR","RIDSTATR","Demographic","numeric",2,0,0
"2013-2014","dem__RIAGENDR","RIAGENDR","Demographic","numeric",2,0,0
"2013-2014","dem__RIDAGEYR","RIDAGEYR","Demographic","numeric",81,0,0
"2013-2014","dem__RIDAGEMN","RIDAGEMN","Demographic","numeric",25,9502,93.38574938574938
"2013-2014","dem__RIDRETH1","RIDRETH1","Demographic","numeric",5,0,0
"2013-2014","dem__RIDRETH3","RIDRETH3","Demographic","numeric",6,0,0
"2013-2014","dem__RIDEXMON","RIDEXMON","Demographic","numeric",2,362,3.557739557739558
"2013-2014","dem__RIDEXAGM","RIDEXAGM","Demographic","numeric",240,5962,58.5945945945946
"2013-2014","dem__DMQMILIZ","DMQMILIZ","Demographic","numeric",3,3914,38.466830466830466
"2013-2014","dem__DMQADFC","DMQADFC","Demographic","numeric",3,9632,94.66339066339067
"2013-2014","dem__DMDBORN4","DMDBORN4","Demographic","numeric",4,0,0
"2013-2014","dem__DMDCITZN","DMDCITZN","Demographic","numeric",4,4,0.03931203931203931
"2013-2014","dem__DMDYRSUS","DMDYRSUS","Demographic","numeric",11,8267,81.24815724815726
"2013-2014","dem__DMDEDUC3","DMDEDUC3","Demographic","numeric",19,7372,72.45208845208845
"2013-2014","dem__DMDEDUC2","DMDEDUC2","Demographic","numeric",7,4406,43.302211302211305
"2013-2014","dem__DMDMARTL","DMDMARTL","Demographic","numeric",8,4406,43.302211302211305
"2013-2014","dem__RIDEXPRG","RIDEXPRG","Demographic","numeric",3,8866,87.13513513513513
"2013-2014","dem__SIALANG","SIALANG","Demographic","numeric",2,0,0
"2013-2014","dem__SIAPROXY","SIAPROXY","Demographic","numeric",2,1,0.009828009828009828
"2013-2014","dem__SIAINTRP","SIAINTRP","Demographic","numeric",2,0,0
"2013-2014","dem__FIALANG","FIALANG","Demographic","numeric",2,121,1.1891891891891893
"2013-2014","dem__FIAPROXY","FIAPROXY","Demographic","numeric",2,121,1.1891891891891893
"2013-2014","dem__FIAINTRP","FIAINTRP","Demographic","numeric",2,121,1.1891891891891893
"2013-2014","dem__MIALANG","MIALANG","Demographic","numeric",2,2864,28.14742014742015
"2013-2014","dem__MIAPROXY","MIAPROXY","Demographic","numeric",2,2863,28.137592137592137
"2013-2014","dem__MIAINTRP","MIAINTRP","Demographic","numeric",2,2862,28.127764127764127
