"variable","original_variable","module","n_total","n_missing","pct_missing","n_observed","initial_reading"
"exam__BMIHEAD","BMIHEAD","Examination",10175,10175,100,0,"La ausencia bruta combina no participación en MEC, restricciones de edad y ausencia de la medición."
"quest__MCQ240I","MCQ240I","Questionnaire",10175,10175,100,0,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240R","MCQ240R","Questionnaire",10175,10175,100,0,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__SMQ690J","SMQ690J","Questionnaire",10175,10175,100,0,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__SMQ861","SMQ861","Questionnaire",10175,10175,100,0,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240V","MCQ240V","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030BG","OSD030BG","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030BH","OSD030BH","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030BI","OSD030BI","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030BJ","OSD030BJ","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD050CB","OSD050CB","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040BG","OSQ040BG","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040BH","OSQ040BH","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040BI","OSQ040BI","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040BJ","OSQ040BJ","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__PAQ759T","PAQ759T","Questionnaire",10175,10174,99.99017199017199,1,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ230D","MCQ230D","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240C","MCQ240C","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240H","MCQ240H","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030AC","OSD030AC","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030BE","OSD030BE","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030BF","OSD030BF","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD030CC","OSD030CC","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD050AC","OSD050AC","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD050BC","OSD050BC","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD050BD","OSD050BD","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD110G","OSD110G","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040AC","OSQ040AC","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040BE","OSQ040BE","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040BF","OSQ040BF","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ040CC","OSQ040CC","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ090H","OSQ090H","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ100G","OSQ100G","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ120H","OSQ120H","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__SMQ665D","SMQ665D","Questionnaire",10175,10173,99.98034398034397,2,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__CDQ009H","CDQ009H","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__DIQ175W","DIQ175W","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240AA","MCQ240AA","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240D","MCQ240D","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240T","MCQ240T","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240Y","MCQ240Y","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__MCQ240Z","MCQ240Z","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSD110E","OSD110E","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__OSQ100E","OSQ100E","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__PAQ724L","PAQ724L","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__PAQ759V","PAQ759V","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__SMQ665B","SMQ665B","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
"quest__SMQ690I","SMQ690I","Questionnaire",10175,10172,99.97051597051598,3,"La ausencia bruta puede responder a edad, patrones de salto, no aplicabilidad o no respuesta."
