"variable","n_applicable","n_model","n_missing_applicable","pct_missing_applicable","global_p_value","global_p_value_bh","mcfadden_r2","auc","interpretation"
"dem__INDFMPIR",10175,10175,785,7.714987714987714,4.376175418513111e-16,9.8463946916545e-16,0.01579085711272621,0.5980747915861161,"La ausencia se relaciona con variables observadas; una hipótesis MCAR simple no resulta defendible."
"exam__BMXBMI",9175,8496,120,1.3079019073569482,0.32066787009640246,0.32066787009640246,0.007942118038213652,0.5894246556761611,"No se detecta asociación en este cribado, pero ello no demuestra MCAR ni descarta MNAR."
"exam__BMXWAIST",9175,8496,514,5.602179836512262,3.992398914223263e-14,7.186318045601873e-14,0.02248434440268099,0.6177022691367109,"La ausencia se relaciona con variables observadas; una hipótesis MCAR simple no resulta defendible."
"lab__LBXSGL",6979,6440,426,6.104026364808711,1.8351194658992976e-17,8.25803759654684e-17,0.03310903494972273,0.6440245104505379,"La ausencia se relaciona con variables observadas; una hipótesis MCAR simple no resulta defendible."
"lab__LBXGH",6979,6440,336,4.814443329989969,6.685812074198202e-17,2.0057436222594605e-16,0.03852351282062039,0.658110116046638,"La ausencia se relaciona con variables observadas; una hipótesis MCAR simple no resulta defendible."
"lab__LBDHDD",8291,7670,667,8.044867929079725,4.0062615152687886e-53,3.6056353637419096e-52,0.06316164579662786,0.6970992983843909,"La ausencia se relaciona con variables observadas; una hipótesis MCAR simple no resulta defendible."
"quest__HSD010",7201,6631,734,10.1930287460075,5.0303202239425654e-14,7.545480335913848e-14,0.018993011491881817,0.6063737533383409,"La ausencia se relaciona con variables observadas; una hipótesis MCAR simple no resulta defendible."
"quest__SMQ020",6113,5628,0,0,,,,,"Sin faltantes dentro de la población aplicable."
"quest__DIQ010",9770,9022,1,0.010235414534288638,0.17476893182005718,0.19661504829756432,0.5690650381375313,0.9990023279015631,"No se detecta asociación en este cribado, pero ello no demuestra MCAR ni descarta MNAR."
"mort__event",6100,5620,0,0,,,,,"Sin faltantes dentro de la población aplicable."
"mort__followup_months_interview",6100,5620,0,0,,,,,"Sin faltantes dentro de la población aplicable."
"mort__followup_months_exam",6100,5620,187,3.0655737704918034,0.09734833373481465,0.12516214337333312,0.009158337944249584,0.577804581789558,"No se detecta asociación en este cribado, pero ello no demuestra MCAR ni descarta MNAR."
